t,L,C_lin,C_nonlin,C_phi,G_eff,Q_abs
0.46,0.2638612752,1,0.932120622,0.02873686029,0.1956970079,0.008301198666
0.47,0.3113934321,1,0.9340734129,0.02863853596,0.2283131759,0.01605687906
0.48,0.3502973061,1,0.935990349,0.02853774672,0.2609293439,0.02515977786
0.49,0.3853461983,1,0.9379070599,0.02843188621,0.2935455119,0.03581267537
0.5,0.418043562,1,0.9397875383,0.02832621801,0.3261616799,0.04814517645
0.51,0.4489825704,1,0.9416353848,0.02822057081,0.3587778479,0.06217718376
0.52,0.4782793987,1,0.9434519687,0.0281153802,0.3913940159,0.07772211948
0.53,0.5057910326,1,0.9452289916,0.02801203183,0.4240101839,0.09433673252
0.54,0.5312168829,1,0.9470241137,0.02790585794,0.4566263519,0.111291165
0.55,0.5541197518,1,0.9487679744,0.02780410452,0.4892425199,0.1275342376
0.56,0.5740248977,1,0.9504766395,0.02770559794,0.5218586879,0.1418122298
0.57,0.5903748091,1,0.952152157,0.02761062411,0.5544748558,0.1527073151
0.58,0.6024838979,1,0.9537689095,0.02752162816,0.5870910238,0.1587170154
0.59,0.6095513319,1,0.9554251357,0.02743072213,0.6197071918,0.1584802183
0.6,0.6105043498,1,0.9570320228,0.0273459684,0.6523233598,0.1508720573
0.61,0.6038081971,1,0.958601618,0.02726643007,0.6849395278,0.1352065373
0.62,0.5869053666,1,0.960135825,0.02719228773,0.7175556958,0.1113462994
0.63,0.5544745927,1,0.9615873806,0.0271268822,0.7501718638,0.07970464723
0.64,0.4911341967,1,0.9631054048,0.02705947272,0.7827880318,0.04141398326
0.65,0.2627462385,1,0.9645768622,0.02699883905,0.788218331,0.001792211968
0.66,0.5077396667,1,0.9660091301,0.02694435118,0.7936486302,0.04769825168
0.67,0.58255163,1,0.9674014563,0.02689622416,0.7990789294,0.09366737666
0.68,0.6300470595,1,0.9688262477,0.02684825556,0.8045092286,0.1369081183
0.69,0.6630562353,1,0.9702057284,0.0268077088,0.8099395278,0.1745791983
0.7,0.6851624957,1,0.9715410813,0.02677383914,0.815369827,0.2040448543
0.71,0.6980724382,1,0.9728349912,0.02674634437,0.8208001262,0.2231515859
0.72,0.7030033952,1,0.9740798576,0.02672575419,0.8262304254,0.230275157
0.73,0.6999604169,1,0.9753795757,0.0267042783,0.8316607246,0.2244978939
0.74,0.6883255059,1,0.9766260692,0.02669010346,0.8370910238,0.2056938392
0.75,0.6665419151,1,0.9778303814,0.02668204733,0.842521323,0.1745092284
0.76,0.6311322733,1,0.9789900071,0.02668016359,0.8479516222,0.1323530347
0.77,0.5728988873,1,0.9800809006,0.02668589081,0.8533819215,0.081281988
0.78,0.4486837381,1,0.9812432861,0.02668967471,0.8588122207,0.02386711387
0.79,0.4900562896,1,0.9823617071,0.02669936315,0.8642425199,0.03696945965
0.8,0.5961473101,1,0.983439621,0.02671435413,0.8696728191,0.09815607745
0.81,0.6550140569,1,0.9844682446,0.0267350852,0.8751031183,0.1566603619
0.82,0.6947988656,1,0.9854213212,0.02676290034,0.8805334175,0.2096905706
0.83,0.7229035123,1,0.9864529723,0.02678832387,0.8859637167,0.2548489594
0.84,0.7424283987,1,0.987446516,0.02681841243,0.8913940159,0.2902499153
0.85,0.7549833089,1,0.9884014979,0.02685285928,0.8968243151,0.3146473461
0.86,0.7614893193,1,0.9893004167,0.02689255213,0.9022546143,0.3274269295
0.87,0.7625101869,1,0.9902683313,0.0269302591,0.9076849135,0.3286255193
0.88,0.7583842691,1,0.9911729467,0.02697340462,0.9131152127,0.3188723778
0.89,0.7492385417,1,0.9920429326,0.02702013821,0.9185455119,0.2992178927
0.9,0.7350807384,1,0.9928765132,0.02707028338,0.9239758111,0.2712052946
0.91,0.7157013425,1,0.9936431452,0.02712530571,0.9294061103,0.2366122049
0.92,0.6904851439,1,0.9944832062,0.02717783892,0.9348364095,0.1972076048
0.93,0.6581516818,1,0.9952684254,0.02723433613,0.9402667087,0.154837502
0.94,0.6160312082,1,0.9960212683,0.0272934908,0.9456970079,0.1111663421
0.95,0.5579290877,1,0.9967398465,0.02735517758,0.9511273072,0.0677008359
0.96,0.4598174551,1,0.9973739364,0.02742165586,0.9565576064,0.02572712156
0.97,0.4064831333,1,0.9980759245,0.02748564786,0.9619879056,0.01388248182
0.98,0.5260043467,1,0.998748518,0.02755154279,0.9674182048,0.05035205983
0.99,0.5815841696,1,0.9993902168,0.02761929986,0.972848504,0.08317161157
1,0.6174398106,1,1,0.02768879444,0.9782788032,0.1121379331
1.01,0.6428054664,1,1,0.02768879444,0.9837091024,0.1371102374
1.02,0.6614467219,1,1,0.02768879444,0.9891394016,0.158148313
1.03,0.6752084096,1,1,0.02768879444,0.9945697008,0.1752762379
1.04,0.6851403608,1,1,0.02768879444,1,0.1885387621
1.05,0.6890947634,1,1,0.02768879444,0.9845763689,0.1981502888
1.06,0.6903225116,1,1,0.02768879444,0.9691527378,0.2042098004
1.07,0.6891295299,1,1,0.02768879444,0.9537291067,0.2068521639
1.08,0.6857375576,1,1,0.02768879444,0.9383054756,0.2062583183
1.09,0.6802711568,1,1,0.02768879444,0.9228818445,0.2025949753
1.1,0.672865593,1,1,0.02768879444,0.9074582134,0.196151327
1.11,0.6635720181,1,1,0.02768879444,0.8920345823,0.1871803292
1.12,0.6524313737,1,1,0.02768879444,0.8766109512,0.1759980356
1.13,0.6395472608,1,1,0.02768879444,0.86118732,0.1630642944
1.14,0.6249919052,1,1,0.02768879444,0.8457636889,0.1488274141
1.15,0.6088656038,1,1,0.02768879444,0.8303400578,0.1337802704
1.16,0.5912663955,1,1,0.02768879444,0.8149164267,0.1184123941
1.17,0.5722536536,1,1,0.02768879444,0.7994927956,0.1031757153
1.18,0.5520829363,1,1,0.02768879444,0.7840691645,0.088509548
1.19,0.5309119524,1,1,0.02768879444,0.7686455334,0.07474842003
1.2,0.508903037,1,1,0.02768879444,0.7532219023,0.06214123866
1.21,0.4862379133,1,1,0.02768879444,0.7377982712,0.05085874758
1.22,0.4630558153,1,1,0.02768879444,0.7223746401,0.04096517357
1.23,0.4394727155,1,1,0.02768879444,0.706951009,0.0324528097
1.24,0.4155034907,1,1,0.02768879444,0.6915273779,0.02523700744
1.25,0.3910218818,1,1,0.02768879444,0.6761037468,0.01918572737
1.26,0.3657447168,1,1,0.02768879444,0.6606801157,0.01415528948
1.27,0.3389917225,1,1,0.02768879444,0.6452564846,0.009983604633
1.28,0.3093188401,1,1,0.02768879444,0.6298328535,0.006515638122
1.29,0.2731329613,1,1,0.02768879444,0.6144092224,0.003611280196
1.32,0.2556812887,1,1,0.02768879444,0.568138329,0.002868910069
1.33,0.2789694065,1,1,0.02768879444,0.5527146979,0.004593530582
1.34,0.2943672267,1,1,0.02768879444,0.5372910668,0.006227508026
1.35,0.3060042476,1,1,0.02768879444,0.5218674357,0.007841324375
1.36,0.3155879515,1,1,0.02768879444,0.5064438046,0.009498237531
1.37,0.324025036,1,1,0.02768879444,0.4910201735,0.01126289722
1.38,0.331813111,1,1,0.02768879444,0.4755965424,0.01319456101
1.39,0.3391682378,1,1,0.02768879444,0.4601729113,0.01533399038
1.4,0.346202089,1,1,0.02768879444,0.4447492802,0.0177155714
1.41,0.3528850639,1,1,0.02768879444,0.4293256491,0.02034925655
1.42,0.3591128283,1,1,0.02768879444,0.413902018,0.02321660986
1.43,0.3647358593,1,1,0.02768879444,0.3984783869,0.0262680725
1.44,0.3695364649,1,1,0.02768879444,0.3830547558,0.02940300891
1.45,0.3733225588,1,1,0.02768879444,0.3676311247,0.03249581948
1.46,0.3758779727,1,1,0.02768879444,0.3522074936,0.03537808029
1.47,0.3769400139,1,1,0.02768879444,0.3367838624,0.03782824135
1.48,0.3762704243,1,1,0.02768879444,0.3213602313,0.03961416854
1.49,0.3736026009,1,1,0.02768879444,0.3059366002,0.04048788577
1.5,0.3686682232,1,1,0.02768879444,0.2905129691,0.04022667638
1.51,0.3611708667,1,1,0.02768879444,0.275089338,0.0386558071
1.52,0.3506979886,1,1,0.02768879444,0.2596657069,0.03564763765
1.53,0.3367374896,1,1,0.02768879444,0.2442420758,0.03119612242
1.54,0.3184383695,1,1,0.02768879444,0.2288184447,0.0253989472
1.55,0.2940745202,1,1,0.02768879444,0.2133948136,0.01845146074
1.56,0.2591762248,1,1,0.02768879444,0.1979711825,0.01066796651
1.59,0.2567079409,1,1,0.02768879444,0.1517002892,0.01362882379
1.6,0.2723698479,1,1,0.02768879444,0.1362766581,0.02058435957
1.61,0.2788500945,1,1,0.02768879444,0.120853027,0.02634577037
1.62,0.2792077257,1,1,0.02768879444,0.1054293959,0.0306744398
1.63,0.2747700202,1,1,0.02768879444,0.09000576475,0.03345231931
1.64,0.266076889,1,1,0.02768879444,0.07458213365,0.03467193584
1.65,0.2532763476,1,1,0.02768879444,0.05915850254,0.03445817909
1.66,0.2359525726,1,1,0.02768879444,0.04373487143,0.03299314471
1.84,0.2371187045,1,1,0.02768879444,0.05696141142,0.03082532874
1.85,0.2414583917,1,1,0.02768879444,0.05971602406,0.0325324455
1.86,0.2430088552,1,1,0.02768879444,0.0624706367,0.03242194347
1.87,0.2411558394,1,1,0.02768879444,0.06522524933,0.03016765406
1.93,0.2368107326,1,1,0.02768879444,0.08175292516,0.02329044444
1.94,0.2573426726,1,1,0.02768879444,0.0845075378,0.03448919103
1.95,0.272148392,1,1,0.02768879444,0.08726215043,0.04462837247
1.96,0.2830276138,1,1,0.02768879444,0.09001676307,0.05316939738
1.97,0.2908452178,1,1,0.02768879444,0.09277137571,0.05973308137
1.98,0.2961124004,1,1,0.02768879444,0.09552598835,0.06412170544
1.99,0.2991796357,1,1,0.02768879444,0.09828060098,0.0663143384
2,0.3003454752,1,1,0.02768879444,0.1010352136,0.06647638425
2.01,0.2998830221,1,1,0.02768879444,0.1037898263,0.06490946451
2.02,0.2980570919,1,1,0.02768879444,0.1065444389,0.06199959721
2.03,0.2951660961,1,1,0.02768879444,0.1092990515,0.05819806732
2.04,0.291530001,1,1,0.02768879444,0.1120536642,0.05395174417
2.05,0.2875273773,1,1,0.02768879444,0.1148082768,0.04969519394
2.06,0.2835843401,1,1,0.02768879444,0.1175628894,0.04581035541
2.07,0.2801148124,1,1,0.02768879444,0.1203175021,0.04257566547
2.08,0.2775626212,1,1,0.02768879444,0.1230721147,0.04022533555
2.09,0.2763325406,1,1,0.02768879444,0.1258267274,0.03890112605
2.1,0.2766146096,1,1,0.02768879444,0.12858134,0.0386515162
2.11,0.2783895202,1,1,0.02768879444,0.1313359526,0.03947190187
2.12,0.2814552063,1,1,0.02768879444,0.1340905653,0.04126093973
2.13,0.2855409979,1,1,0.02768879444,0.1368451779,0.04390698571
2.14,0.2903007691,1,1,0.02768879444,0.1395997905,0.04724479423
2.15,0.2953015953,1,1,0.02768879444,0.1423544032,0.0510012808
2.16,0.3001854527,1,1,0.02768879444,0.1451090158,0.05489733702
2.17,0.3045888944,1,1,0.02768879444,0.1478636285,0.05857754301
2.18,0.3081650171,1,1,0.02768879444,0.1506182411,0.06163641954
2.19,0.3105696318,1,1,0.02768879444,0.1533728537,0.06363167482
2.2,0.3113557737,1,1,0.02768879444,0.1561274664,0.06401983319
2.21,0.3100534846,1,1,0.02768879444,0.158882079,0.06230955132
2.22,0.3059940121,1,1,0.02768879444,0.1616366916,0.05800487914
2.23,0.2980527428,1,1,0.02768879444,0.1643913043,0.05059148851
2.24,0.2842156183,1,1,0.02768879444,0.1671459169,0.03969577307
2.25,0.2594496467,1,1,0.02768879444,0.1699005296,0.02505191186
2.28,0.2859017217,1,1,0.02768879444,0.1781643675,0.04026415987
2.29,0.3170940718,1,1,0.02768879444,0.1809189801,0.06738104478
2.3,0.3401182973,1,1,0.02768879444,0.1836735927,0.09542850102
2.31,0.3579200631,1,1,0.02768879444,0.1864282054,0.1229013697
2.32,0.3716527087,1,1,0.02768879444,0.189182818,0.1479987095
2.33,0.3818165999,1,1,0.02768879444,0.1919374307,0.168779294
2.34,0.3883755174,1,1,0.02768879444,0.1946920433,0.1831974802
2.35,0.3911425371,1,1,0.02768879444,0.1974466559,0.189273889
2.36,0.3896814955,1,1,0.02768879444,0.2002012686,0.1852927443
2.37,0.3831367332,1,1,0.02768879444,0.2029558812,0.1698674853
2.38,0.3698429877,1,1,0.02768879444,0.2057104938,0.1421009133
2.39,0.346023689,1,1,0.02768879444,0.2084651065,0.1017053346
2.4,0.2991529023,1,1,0.02768879444,0.2112197191,0.04905922352
2.42,0.3362694132,1,1,0.02768879444,0.2167289444,0.08789726416
2.43,0.3827857581,1,1,0.02768879444,0.219483557,0.1679425079
2.44,0.4151030169,1,1,0.02768879444,0.2222381697,0.251847933
2.45,0.4397535995,1,1,0.02768879444,0.2249927823,0.3361375149
2.46,0.4590807135,1,1,0.02768879444,0.2277473949,0.4170231649
2.47,0.4741734257,1,1,0.02768879444,0.2305020076,0.4906593832
2.48,0.4855901272,1,1,0.02768879444,0.2332566202,0.5532951687
2.49,0.4936126075,1,1,0.02768879444,0.2360112329,0.6014331449
2.5,0.4983761901,1,1,0.02768879444,0.2387658455,0.6321593595
2.51,0.4998948145,1,1,0.02768879444,0.2415204581,0.6432110743
2.52,0.4980887316,1,1,0.02768879444,0.2442750708,0.6332150003
2.53,0.4927742721,1,1,0.02768879444,0.2470296834,0.6018011481
2.54,0.4835959426,1,1,0.02768879444,0.249784296,0.5494909347